"2019-08-25 00:56:02,496 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:56:02,619 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:56:02,619 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:26,611 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:26,611 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:26,888 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:26,888 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:31,694 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:31,694 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:31,695 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:31,696 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:32,182 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:32,183 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 00:59:32,331 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 00:59:32,331 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:32,565 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:32,565 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:32,874 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:32,874 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:37,548 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:37,548 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:37,885 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:37,885 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:38,241 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:38,242 - imputer.py[line:293] - DEBUG: replace_area:col"
"2019-08-25 01:12:38,709 - imputer.py[line:369] - DEBUG: replace_method:None"
"2019-08-25 01:12:38,710 - imputer.py[line:293] - DEBUG: replace_area:col"
